tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
N050AA,null,null,null,null,null,null,null,null
N051AA,null,null,null,null,null,null,null,null
N052AA,null,null,null,null,null,null,null,null
N054AA,null,null,null,null,null,null,null,null
N055AA,null,null,null,null,null,null,null,null
N056AA,null,null,null,null,null,null,null,null
N057AA,null,null,null,null,null,null,null,null
N058AA,null,null,null,null,null,null,null,null
N059AA,null,null,null,null,null,null,null,null
N060AA,null,null,null,null,null,null,null,null
N061AA,null,null,null,null,null,null,null,null
N062AA,null,null,null,null,null,null,null,null
N063AA,null,null,null,null,null,null,null,null
N064AA,null,null,null,null,null,null,null,null
N065AA,null,null,null,null,null,null,null,null
N066AA,null,null,null,null,null,null,null,null
N067AA,null,null,null,null,null,null,null,null
N068AA,null,null,null,null,null,null,null,null
N069AA,null,null,null,null,null,null,null,null
N070AA,null,null,null,null,null,null,null,null
N071AA,null,null,null,null,null,null,null,null
N072AA,null,null,null,null,null,null,null,null
N073AA,null,null,null,null,null,null,null,null
N074AA,null,null,null,null,null,null,null,null
N075AA,null,null,null,null,null,null,null,null
N076AA,null,null,null,null,null,null,null,null
N077AA,null,null,null,null,null,null,null,null
N078AA,null,null,null,null,null,null,null,null
N079AA,null,null,null,null,null,null,null,null
N080AA,null,null,null,null,null,null,null,null
N081AA,null,null,null,null,null,null,null,null
N082AA,null,null,null,null,null,null,null,null
N083AA,null,null,null,null,null,null,null,null
N084AA,null,null,null,null,null,null,null,null
N10156,Corporation,EMBRAER,02/13/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N102UW,Corporation,AIRBUS INDUSTRIE,05/26/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N10323,Corporation,BOEING,07/01/1997,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N103US,Corporation,AIRBUS INDUSTRIE,06/18/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N104UA,Corporation,BOEING,01/26/1998,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N104UW,Corporation,AIRBUS INDUSTRIE,07/02/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N10575,Corporation,EMBRAER,06/24/2003,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N105UA,Corporation,BOEING,10/15/2007,747-451,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N105UW,Corporation,AIRBUS INDUSTRIE,07/22/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N106US,Corporation,AIRBUS INDUSTRIE,08/05/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N107UA,Corporation,BOEING,08/24/1998,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N107US,Corporation,AIRBUS INDUSTRIE,08/17/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N108UW,Corporation,AIRBUS INDUSTRIE,09/03/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N109UW,Corporation,AIRBUS INDUSTRIE,09/10/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N110UW,Corporation,AIRBUS INDUSTRIE,11/22/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11106,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11107,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11109,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11113,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11119,Corporation,EMBRAER,01/08/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11121,Corporation,EMBRAER,01/22/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11127,Corporation,EMBRAER,03/10/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11137,Corporation,EMBRAER,05/21/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11140,Corporation,EMBRAER,06/16/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11150,Corporation,EMBRAER,10/21/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11155,Corporation,EMBRAER,01/28/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11164,Corporation,EMBRAER,06/09/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11165,Corporation,EMBRAER,06/24/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11176,Corporation,EMBRAER,01/12/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11181,Corporation,EMBRAER,04/13/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11184,Corporation,EMBRAER,05/25/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11187,Corporation,EMBRAER,07/13/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11189,Corporation,EMBRAER,08/11/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11191,Corporation,EMBRAER,09/14/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11192,Corporation,EMBRAER,10/05/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11193,Corporation,EMBRAER,10/19/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11194,Corporation,EMBRAER,11/09/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11199,Corporation,EMBRAER,02/22/2006,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N111US,Corporation,AIRBUS INDUSTRIE,11/29/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11206,Corporation,BOEING,07/27/2000,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N112US,Corporation,AIRBUS INDUSTRIE,12/22/1999,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N113UW,Corporation,AIRBUS INDUSTRIE,01/18/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N114UW,Corporation,AIRBUS INDUSTRIE,01/24/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11526,Corporation,EMBRAER,04/04/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11535,Corporation,EMBRAER,07/10/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11536,Corporation,EMBRAER,07/10/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11539,Corporation,EMBRAER,05/29/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11544,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11547,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11548,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11551,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11565,Corporation,EMBRAER,08/23/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11612,Corporation,BOEING,07/20/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N11641,Corporation,BOEING,08/29/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11651,Corporation,BOEING,12/31/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11656,Corporation,BOEING,02/22/2008,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N116UA,Corporation,BOEING,12/29/1998,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N117UA,Corporation,BOEING,02/01/1999,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N117UW,Corporation,AIRBUS INDUSTRIE,08/11/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N118US,Corporation,AIRBUS INDUSTRIE,09/14/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N119UA,Corporation,BOEING,03/31/1999,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N119US,Corporation,AIRBUS INDUSTRIE,08/18/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1200K,Corporation,BOEING,04/13/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N1201P,Corporation,BOEING,04/22/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N120UA,Corporation,BOEING,04/13/1999,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N12109,Corporation,BOEING,12/07/1994,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N12114,Corporation,BOEING,07/05/1995,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
N12116,Corporation,BOEING,03/29/1996,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N12122,Corporation,EMBRAER,01/22/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12125,Corporation,BOEING,02/02/1998,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N12126,Corporation,EMBRAER,02/12/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12135,Corporation,EMBRAER,05/07/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12136,Corporation,EMBRAER,05/14/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12142,Corporation,EMBRAER,06/26/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12145,Corporation,EMBRAER,08/26/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12157,Corporation,EMBRAER,02/19/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12160,Corporation,EMBRAER,04/14/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12163,Corporation,EMBRAER,05/26/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12166,Corporation,EMBRAER,07/28/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12167,Corporation,EMBRAER,07/29/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12172,Corporation,EMBRAER,10/27/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12175,Corporation,EMBRAER,12/15/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12195,Corporation,EMBRAER,12/07/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N121DE,Corporation,BOEING,06/09/1987,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N121UA,Corporation,BOEING,04/23/1999,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N121UW,Corporation,AIRBUS INDUSTRIE,09/22/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12201,Corporation,EMBRAER,04/19/2006,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N12216,Corporation,BOEING,08/05/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12218,Corporation,BOEING,08/17/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12221,Corporation,BOEING,12/02/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12225,Corporation,BOEING,12/22/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12238,Corporation,BOEING,10/12/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N122UA,Corporation,BOEING,06/15/1999,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N122US,Corporation,AIRBUS INDUSTRIE,11/30/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12313,Corporation,BOEING,10/18/1985,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
N12318,Corporation,BOEING,07/18/2006,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12319,Corporation,BOEING,07/18/2006,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12322,Corporation,BOEING,06/30/1997,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12327,Corporation,BOEING,05/05/2004,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12349,Corporation,BOEING,10/04/2006,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N123UW,Corporation,AIRBUS INDUSTRIE,11/20/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N124DE,Corporation,BOEING,11/25/1987,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
N124US,Corporation,AIRBUS INDUSTRIE,11/21/2000,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12519,Corporation,EMBRAER,01/10/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12528,Corporation,EMBRAER,05/31/2002,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
N12530,Corporation,EMBRAER,05/31/2002,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12540,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12552,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12563,Corporation,EMBRAER,06/27/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12564,Corporation,EMBRAER,07/18/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12567,Corporation,EMBRAER,08/26/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12569,Corporation,EMBRAER,06/24/2003,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N125DL,Corporation,BOEING,02/06/2008,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N126AT,Corporation,BOEING,06/24/2004,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N126DL,Corporation,BOEING,02/04/2008,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N127DL,Corporation,BOEING,07/11/1988,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N128DL,Corporation,BOEING,07/13/1988,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N128UA,Corporation,BOEING,05/15/2000,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12900,Corporation,EMBRAER,07/01/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12921,Corporation,EMBRAER,12/14/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12922,Corporation,EMBRAER,11/08/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12924,Corporation,EMBRAER,10/30/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12934,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N12946,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N12957,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12967,Corporation,EMBRAER,06/18/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N12996,Corporation,EMBRAER,10/30/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N129DL,Corporation,BOEING,07/11/1988,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N1309T,Corporation,DOUGLAS,06/17/2004,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
N130DL,Corporation,BOEING,03/06/2007,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
N13110,Corporation,BOEING,12/08/1994,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N13113,Corporation,BOEING,04/12/1995,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
N13118,Corporation,EMBRAER,06/26/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13123,Corporation,EMBRAER,02/05/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13124,Corporation,EMBRAER,02/05/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13132,Corporation,EMBRAER,04/09/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13133,Corporation,EMBRAER,04/16/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N13138,Corporation,BOEING,06/02/2000,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13161,Corporation,EMBRAER,04/29/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N131DN,Corporation,BOEING,11/19/2007,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N13202,Corporation,EMBRAER,04/26/2006,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
N13248,Corporation,BOEING,12/07/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N132DN,Corporation,BOEING,02/15/1991,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N1332U,Corporation,MCDONNELL DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1969
N1334U,Corporation,DOUGLAS,12/22/1986,DC-9-31,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1970
N133DN,Corporation,BOEING,02/14/1991,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N134DL,Corporation,BOEING,02/26/1991,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13538,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13550,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13553,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N13566,Corporation,EMBRAER,08/23/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N135DL,Corporation,BOEING,06/06/1991,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13624,Corporation,BOEING,02/07/1995,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
N136DL,Corporation,BOEING,06/18/1991,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13716,Corporation,BOEING,12/07/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N13718,Corporation,BOEING,01/26/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13720,Corporation,BOEING,03/01/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N13750,Corporation,BOEING,06/07/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N137DL,Corporation,BOEING,11/01/1991,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N138DL,Corporation,BOEING,01/21/1992,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N13903,Corporation,EMBRAER,07/02/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13908,Corporation,EMBRAER,05/31/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13913,Corporation,EMBRAER,05/25/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13914,Corporation,EMBRAER,05/09/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N13929,Corporation,EMBRAER,11/29/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13935,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13936,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N13949,Corporation,EMBRAER,07/22/1998,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13955,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13956,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13958,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N13964,Corporation,EMBRAER,06/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13965,Corporation,EMBRAER,06/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13968,Corporation,EMBRAER,06/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13969,Corporation,EMBRAER,09/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13970,Corporation,EMBRAER,09/20/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13975,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N13978,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
